group,Spec (thr=0.19),Spec (thr=0.19) (low),Spec (thr=0.19) (high),Spec (thr=0.19) pval,Spec (thr=0.19) effect,p(y=1|G=g),p(y=1|G=g) (low),p(y=1|G=g) (high),BS,BS (low),BS (high),BS (bal),BS (bal) (low),BS (bal) (high),pAUPRG(recgmin=0.8),pAUPRG(recgmin=0.8) (low),pAUPRG(recgmin=0.8) (high),DRMSCE,DRMSCE (low),DRMSCE (high),Count,AUROC,AUROC (low),AUROC (high),AUROC pval,AUROC effect
all,0.8034242232086239,0.797443200259656,0.8171829657117797,,,0.09988584474885845,0.08981164383561643,0.11218607305936074,0.06944945580086355,0.06582913452723915,0.07546544439456514,0.15332169564923187,0.13100440396085106,0.17291640624094143,0.1771638504300793,0.169719184158754,0.18209590808916645,0.09444925892550383,0.08706767023706626,0.10783065647259342,1752.0,0.9188767098469064,0.9005497938111625,0.9372036212965645,,
race=ASIAN,0.75,0.7425016252234683,0.8055738516142243,0.25,-0.0657689305230289,0.10574018126888217,0.08897280966767372,0.14123867069486404,0.07602779369785514,0.056280210061051064,0.08791910285221628,0.13049411852674977,0.11241939696818389,0.15425756490490505,0.1802928836972313,0.16478061012371134,0.1917112546246048,0.11495841802888766,0.0895855082614311,0.15995387909234518,331.0,0.9287644787644788,0.8949798584931582,0.9625490664488584,0.7777777777777777,0.011651694774627686
race=BLACK,0.7514792899408284,0.720881377003826,0.8006598354292811,0.25,-0.06611554460315872,0.0938337801608579,0.0729892761394102,0.114343163538874,0.0745257557612115,0.05563982649096795,0.07735634225653677,0.13461394429039988,0.10813790110155687,0.1641559942681278,0.1786429280251484,0.1604993686909441,0.19131012874072006,0.12268230801736998,0.11135921110216522,0.17051066750105826,373.0,0.9247675401521556,0.8888995777361957,0.9606356490857038,0.8,0.005760371685028076
race=OTHER,0.7922535211267606,0.7573133437302013,0.8508560336460692,0.7777777777777777,-0.013624282430857337,0.109717868338558,0.08746081504702194,0.1365203761755486,0.07176257456488286,0.06175073138745676,0.09188937162581412,0.15069819119288372,0.118115471647009,0.17914290887142537,0.17878025811342982,0.1531930624272998,0.18788627249278553,0.08670150497934767,0.06992767710714523,0.1024428294950835,319.0,0.9154929577464789,0.8690153852256164,0.9619705185143128,0.7777777777777777,-0.0040628910064697266
race=UNKNOWN,0.8594249201277955,0.8384885585042836,0.8871442739325608,0.25,0.06986795810247903,0.10057471264367816,0.08333333333333333,0.12255747126436783,0.06546418555924147,0.05716794936809373,0.08089506395717021,0.19170664139485322,0.15945486390367772,0.23521757335542498,0.17531304605538786,0.1659729030965414,0.18794339591459747,0.03724128000896102,0.017895910953486444,0.0715477488698315,348.0,0.9131903240529439,0.8737523085402673,0.9526284211350257,0.7777777777777777,-0.009266674518585205
race=WHITE,0.8583815028901735,0.8181573303267154,0.8827945402298851,0.25,0.07040424862534811,0.09186351706036745,0.07408136482939633,0.12473753280839896,0.060468089473432234,0.04959096065553891,0.07097557597835798,0.15955613103612873,0.12220435556018679,0.20840724096497648,0.17860132088920858,0.16479983249709096,0.18862284840232013,0.06789593254952467,0.03719145203241388,0.08024287936171176,381.0,0.9242774566473988,0.8749535754093958,0.973601274215238,0.7777777777777777,0.007264554500579834
