group,Acc (thr=0.018),Acc (thr=0.018) (low),Acc (thr=0.018) (high),Acc (thr=0.018) pval,Acc (thr=0.018) effect,p(y=1|G=g),p(y=1|G=g) (low),p(y=1|G=g) (high),BS,BS (low),BS (high),BS (bal),BS (bal) (low),BS (bal) (high),AUROC,AUROC (low),AUROC (high),AUROC pval,AUROC effect,pAUPRG(recgmin=0.9),pAUPRG(recgmin=0.9) (low),pAUPRG(recgmin=0.9) (high),DRMSCE,DRMSCE (low),DRMSCE (high),Count
"age=65+, sex=0",0.8277310924369747,0.7912188442823805,0.858995917832594,0.2733333333333334,-0.05150700280112053,0.046218487394957986,0.03455882352941177,0.07489495798319329,0.03513988668228572,0.021635091139915585,0.048172581817826556,0.3024312636189964,0.24408904631772205,0.37487267414392167,0.8172807368842611,0.7152765109062644,0.9192847893714455,0.43157894736842106,-0.04211372137069702,0.08121966867291866,0.06263271070286769,0.088099962869599,0.016655383245998287,0.0,0.02793902845926759,476.0
"age=65+, sex=1",0.822429906542056,0.7934371466570349,0.8481321961852237,0.2733333333333334,-0.07868120456905503,0.037383177570093455,0.029539385847797063,0.042423230974632846,0.04109508880917193,0.036371243322808694,0.05042616583791932,0.3983835939088806,0.36428014797637603,0.4385674781284736,0.8622944323360412,0.8142354047891637,0.9103534662130336,1.0,-0.006482064723968506,0.07958527574743471,0.0670864381403536,0.08766119277392552,0.03055510104738159,0.00321169011309915,0.06816086135682725,749.0
"age=65+, site=H/N",0.7363636363636363,0.6470588387533535,0.8097167554693324,0.2733333333333334,-0.15754871739404763,0.11818181818181818,0.06568181818181817,0.17977272727272728,0.10308271965384327,0.071733040327518,0.10082038545694114,0.3893910790406989,0.3211721912325768,0.4340931301746158,0.8318794607454402,0.7387395566636958,0.9250193172758183,0.7321428571428571,-0.02939748764038086,0.0647309740214583,0.0429722267858881,0.07573835767218107,0.07864006889323596,0.0026619008542875192,0.11672459047895976,110.0
"age=65+, site=LE",0.8307210031347962,0.7856913517854716,0.8678802209944336,0.2733333333333334,-0.050135420039007283,0.0219435736677116,0.012539184952978056,0.03620689655172414,0.026363720420170458,0.012622595545406465,0.03098738795448561,0.3854890601704223,0.30466014627191434,0.42178421917253367,0.7206959706959707,0.4674461682616366,0.9739457766236173,0.5857142857142856,-0.13495707511901855,0.07956628468797936,,,0.02508598115090874,0.0009759584681081971,0.061904314657781886,319.0
"age=65+, site=TO",0.8417618270799347,0.8107536629126848,0.868513260554268,0.2733333333333334,-0.04795268211052284,0.037520391517128875,0.03299347471451876,0.05289559543230017,0.03508412540089177,0.021086317238336243,0.04293822243354375,0.35794151809613844,0.30881623049677254,0.3612634293611161,0.8475313190862196,0.7733216715434513,0.9217409657856502,0.9710526315789474,-0.0147322416305542,0.0821056765357891,0.07507898380615147,0.09272580625858762,0.005959842052493537,0.0,0.03457531966157015,613.0
"age=65+, site=UE",0.8397435897435898,0.7741252477890105,0.8890318629009512,0.43157894736842106,-0.052980085789494424,0.04487179487179487,0.020673076923076926,0.05625,0.035714638652988344,0.018256677416116435,0.04893980498321311,0.26208457281437975,0.19795228446053534,0.38373063273110736,0.900287631831256,0.8136451892678443,0.9869300670798119,0.5857142857142856,0.026662766933441162,0.08757858129513685,,,0.02250313715724121,0.0,0.09747428221111538,156.0
age=<20,0.72,0.5242339480963842,0.8571614614904344,0.2733333333333334,-0.15843438219493478,0.0,0.0,0.0,0.0052985952292413045,0.0003939820281496076,0.01015867406857269,,,,,,,,,,,,0.036889051576666713,0.017542382175003597,0.08589965416376405,25.0
all,0.8778287461773701,0.8696693199098191,0.8855445756436084,,,0.017737003058103974,0.0151414373088685,0.02081039755351682,0.019230718202687683,0.017180169589732595,0.02137223085049238,0.3907478039735698,0.365390775775109,0.42347151947198997,0.8628110641130244,0.8345195648556764,0.8911026122683471,,,0.08795161546030732,0.08429344458090575,0.0899014438631381,0.024867275798882194,0.00994181847741899,0.022194603822980514,6540.0
sex=0,0.8897662665824384,0.8783812291215667,0.9002066062833602,0.2733333333333334,0.02313911779761324,0.016424510423247,0.013723941882501579,0.022946936197094123,0.016688055442549237,0.012985744059548361,0.02159942903111139,0.36740963638932767,0.3360412754985627,0.4056888825015552,0.8547687861271677,0.8051939907997634,0.9043436345130418,0.6693877551020408,-0.01409447193145752,0.09124213127127381,0.0870248965512493,0.09189762355814775,0.015353447625239748,0.0072511536808613775,0.01711385449110125,3166.0
"sex=0, site=H/N",0.8494623655913979,0.7910335094686664,0.8937484175538467,0.2733333333333334,-0.02467231030539252,0.03225806451612903,0.013172043010752692,0.043010752688172046,0.021723504543350612,0.01183429100818978,0.033810525258708986,0.2746478441002388,0.19865597625232198,0.433237381068186,0.9203703703703704,0.827611990617012,1.0,0.43157894736842106,0.051833152770996094,0.09418703703703703,,,0.0,0.0,0.037900321092144376,186.0
"sex=0, site=LE",0.9088863892013498,0.8881694622047239,0.9260848410847479,0.2733333333333334,0.04970978281427785,0.012373453318335208,0.006749156355455568,0.021372328458942633,0.014108253032920633,0.009931720240788214,0.017796016817171675,0.42957000470973167,0.39213567501008223,0.48737503241679564,0.7693104162352454,0.6130008438425412,0.9256198665303836,0.7321428571428571,-0.08884096145629883,0.08684385885779136,,,0.006190115149410554,0.0,0.013774519577878829,889.0
